n_target,n_actual,seed,model_name,r2,rmse
1159,1158,8,PGSGv2,0.7620443726992998,1.3453537078695248
1159,1158,8,PGSGv2-random,0.7615333342019881,1.3467975879822347
1159,1158,8,PLS,0.5683505213598066,1.8119829236579335
1159,1158,8,MLP,0.7421384559136703,1.4004956996670466
1159,1158,8,CNN1D-shallow,0.6976037384432257,1.5166197214827835
30,30,9,PGSGv2,0.0785737421271906,2.6473952314317373
30,30,9,PGSGv2-random,-0.09322565343347056,2.883655644345622
30,30,9,PLS,-0.2092761582195779,3.032852123730039
30,30,9,MLP,-2.6083372567820637,5.23892343498961
30,30,9,CNN1D-shallow,-0.1547729257003918,2.9637173781083836
60,60,9,PGSGv2,0.005383285259113135,2.7505298777510916
60,60,9,PGSGv2-random,0.02933460614508676,2.717210370137502
60,60,9,PLS,0.0549740579574034,2.6810835958866104
60,60,9,MLP,-0.555273434758899,3.43947270375128
60,60,9,CNN1D-shallow,0.09866675942526115,2.6183710110877776
100,100,9,PGSGv2,0.2998897917330816,2.307659325089508
100,100,9,PGSGv2-random,0.32809516861272436,2.260697073636139
100,100,9,PLS,0.2948113057660984,2.316013895134257
100,100,9,MLP,-0.09301353523910261,2.8833758734217385
100,100,9,CNN1D-shallow,0.18038244521260238,2.4968595633153945
200,200,9,PGSGv2,0.46717297863003426,2.0131753808553356
200,200,9,PGSGv2-random,0.38919195827966346,2.1554644442120967
200,200,9,PLS,0.46630931606451853,2.014806304350143
200,200,9,MLP,0.19444009911122206,2.475354535611357
200,200,9,CNN1D-shallow,0.3212054217551231,2.272258164518478
400,400,9,PGSGv2,0.6455908516123632,1.6418782586814276
400,400,9,PGSGv2-random,0.6266679806660904,1.685140474706711
400,400,9,PLS,0.5367009523556022,1.8772373821773036
400,400,9,MLP,0.4785636705910764,1.9915404564311363
400,400,9,CNN1D-shallow,0.5209746158291966,1.908832207090998
700,700,9,PGSGv2,0.6825359081116879,1.5539455424798765
700,700,9,PGSGv2-random,0.614622341652336,1.7121103668377402
700,700,9,PLS,0.5624837992678111,1.824255060724744
700,700,9,MLP,0.5850957598324178,1.776488607612798
700,700,9,CNN1D-shallow,0.4829774243383932,1.983093739992723
1159,1158,9,PGSGv2,0.8021367893670996,1.2267922284189359
1159,1158,9,PGSGv2-random,0.8011833316666148,1.2297444921457277
1159,1158,9,PLS,0.5683505213598066,1.8119829236579335
1159,1158,9,MLP,0.7239686638752427,1.4489976595201555
1159,1158,9,CNN1D-shallow,0.7091219967020685,1.4874553235955774
